eez,dist_km,area_km2,ais_fishing,dark_fishing,ISO_TER1,GEONAME,SOVEREIGN1,fishing_per_km2
8406,5,43629.52471,0.014954413,3.242691581,CUB,Cuban Exclusive Economic Zone,Cuba,7.47E-05
8406,10,67270.44606,0.025195491,5.218260474,CUB,Cuban Exclusive Economic Zone,Cuba,7.79E-05
8406,15,87165.06625,0.025195491,6.519087094,CUB,Cuban Exclusive Economic Zone,Cuba,7.51E-05
8406,20,104421.9828,0.02860846,7.581960665,CUB,Cuban Exclusive Economic Zone,Cuba,7.29E-05
8406,25,119497.0804,0.02860846,8.312065548,CUB,Cuban Exclusive Economic Zone,Cuba,6.98E-05
26517,5,1063.466727,0.019481869,0.18098998,CUW,Curaçaoan Exclusive Economic Zone,Netherlands,0.000188508
26517,10,2120.920992,0.026549007,0.328027491,CUW,Curaçaoan Exclusive Economic Zone,Netherlands,0.00016718
26517,15,3321.697743,0.037212701,0.42002736,CUW,Curaçaoan Exclusive Economic Zone,Netherlands,0.000137653
26517,20,4653.731237,0.046059198,0.512922002,CUW,Curaçaoan Exclusive Economic Zone,Netherlands,0.000120115
26517,25,5936.331953,0.049592767,0.568328863,CUW,Curaçaoan Exclusive Economic Zone,Netherlands,0.000104091
8376,5,4019.049382,0.423703803,0.887782618,CYP,Cypriote Exclusive Economic Zone,Cyprus,0.000326318
8376,10,7376.106347,0.567843764,1.249535126,CYP,Cypriote Exclusive Economic Zone,Cyprus,0.000246387
8376,15,10755.92604,0.633688436,1.488940856,CYP,Cypriote Exclusive Economic Zone,Cyprus,0.000197345
8376,20,14217.04095,0.703934537,1.784348319,CYP,Cypriote Exclusive Economic Zone,Cyprus,0.000175021
8376,25,17752.54886,0.861905432,2.161041701,CYP,Cypriote Exclusive Economic Zone,Cyprus,0.000170282
5674,5,20247.74337,9.474288324,7.145960242,DNK,Danish Exclusive Economic Zone,Denmark,0.000820844
5674,10,29994.30525,16.97563915,11.03986174,DNK,Danish Exclusive Economic Zone,Denmark,0.000934027
5674,15,37443.45456,23.26076678,13.82543747,DNK,Danish Exclusive Economic Zone,Denmark,0.000990459
5674,20,44256.40027,28.94396642,16.38461214,DNK,Danish Exclusive Economic Zone,Denmark,0.001024227
5674,25,50237.71683,34.6640931,18.7193091,DNK,Danish Exclusive Economic Zone,Denmark,0.001062616
8477,5,469.3383197,0.033444816,0.450500152,COD,Democratic Republic of the Congo Exclusive Economic Zone,Democratic Republic of the Congo,0.001031122
8477,10,723.0075317,0.050167224,0.65313639,COD,Democratic Republic of the Congo Exclusive Economic Zone,Democratic Republic of the Congo,0.000972747
8477,15,948.4887428,0.063545151,1.010699492,COD,Democratic Republic of the Congo Exclusive Economic Zone,Democratic Republic of the Congo,0.001132586
8477,20,1161.711506,0.073578595,1.212041577,COD,Democratic Republic of the Congo Exclusive Economic Zone,Democratic Republic of the Congo,0.00110666
8477,25,1366.349338,0.073578595,1.357092008,COD,Democratic Republic of the Congo Exclusive Economic Zone,Democratic Republic of the Congo,0.001047075
8352,5,2194.13535,0.027313951,0.319130754,DJI,Djiboutian Exclusive Economic Zone,Djibouti,0.000157896
8352,10,3575.352656,0.052397242,0.578206677,DJI,Djiboutian Exclusive Economic Zone,Djibouti,0.000176375
8352,15,4286.323806,0.052397242,0.715528612,DJI,Djiboutian Exclusive Economic Zone,Djibouti,0.000179157
8352,20,4852.592038,0.052397242,0.861333825,DJI,Djiboutian Exclusive Economic Zone,Djibouti,0.000188298
8352,25,5356.195548,0.052397242,0.981941206,DJI,Djiboutian Exclusive Economic Zone,Djibouti,0.000193111
8417,5,899.0724056,0.002457002,0.091886649,DMA,Dominican Exclusive Economic Zone,Dominica,0.000104934
8417,10,1762.529334,0.00982801,0.194829359,DMA,Dominican Exclusive Economic Zone,Dominica,0.000116116
8417,15,2736.488791,0.024570025,0.313199104,DMA,Dominican Exclusive Economic Zone,Dominica,0.000123432
8417,20,3694.309704,0.029484029,0.369519738,DMA,Dominican Exclusive Economic Zone,Dominica,0.000108005
8417,25,4520.195494,0.029484029,0.400861222,DMA,Dominican Exclusive Economic Zone,Dominica,9.52E-05
8409,5,8378.3233,0.01,0.676460134,DOM,Dominican Republic Exclusive Economic Zone,Dominican Republic,8.19E-05
8409,10,14214.46084,0.01,1.093816362,DOM,Dominican Republic Exclusive Economic Zone,Dominican Republic,7.77E-05
8409,15,19897.37577,0.01,1.389578526,DOM,Dominican Republic Exclusive Economic Zone,Dominican Republic,7.03E-05
8409,20,25506.62628,0.01,1.632509988,DOM,Dominican Republic Exclusive Economic Zone,Dominican Republic,6.44E-05
8409,25,31188.03514,0.01,1.828179907,DOM,Dominican Republic Exclusive Economic Zone,Dominican Republic,5.89E-05
5668,5,7109.623707,24.16891022,5.797910886,NLD,Dutch Exclusive Economic Zone,Netherlands,0.004214966
5668,10,10197.71031,37.79562807,7.981422337,NLD,Dutch Exclusive Economic Zone,Netherlands,0.004488954
5668,15,12279.93302,42.84735142,9.440208161,NLD,Dutch Exclusive Economic Zone,Netherlands,0.004257968
5668,20,14119.94493,44.08504625,10.33822916,NLD,Dutch Exclusive Economic Zone,Netherlands,0.003854355
5668,25,15943.52802,44.99461425,11.37486745,NLD,Dutch Exclusive Economic Zone,Netherlands,0.003535571
8758,5,4288.361893,0,0.085122494,TLS,East Timorian Exclusive Economic Zone,East Timor,1.98E-05
8758,10,7642.621163,0,0.185092498,TLS,East Timorian Exclusive Economic Zone,East Timor,2.42E-05
8758,15,10860.42592,0.007042254,0.261370764,TLS,East Timorian Exclusive Economic Zone,East Timor,2.47E-05
8758,20,13267.55122,0.018757404,0.356217315,TLS,East Timorian Exclusive Economic Zone,East Timor,2.83E-05
8758,25,15319.87146,0.039840288,0.522746587,TLS,East Timorian Exclusive Economic Zone,East Timor,3.67E-05
8431,5,10361.07132,0.768072605,11.96049439,ECU,Ecuadorian Exclusive Economic Zone,Ecuador,0.001228499
8431,10,15488.51856,0.880317409,22.41029143,ECU,Ecuadorian Exclusive Economic Zone,Ecuador,0.001503734
8431,15,20311.97009,1.031137956,34.0713159,ECU,Ecuadorian Exclusive Economic Zone,Ecuador,0.001728166
8431,20,24443.76353,1.146157817,43.24852129,ECU,Ecuadorian Exclusive Economic Zone,Ecuador,0.001816197
8431,25,28389.66629,1.295854094,49.68416289,ECU,Ecuadorian Exclusive Economic Zone,Ecuador,0.001795724
8403,5,13225.84878,0.078210049,0.880582075,,Ecuadorian Exclusive Economic Zone (Galapagos),Ecuador,7.25E-05
8403,10,21818.76289,0.10195043,1.142381015,,Ecuadorian Exclusive Economic Zone (Galapagos),Ecuador,5.70E-05
8403,15,30646.9019,0.122198773,1.265943005,,Ecuadorian Exclusive Economic Zone (Galapagos),Ecuador,4.53E-05
8403,20,40036.66941,0.128268994,1.347266447,,Ecuadorian Exclusive Economic Zone (Galapagos),Ecuador,3.69E-05
8403,25,49889.5831,0.129966787,1.417837463,,Ecuadorian Exclusive Economic Zone (Galapagos),Ecuador,3.10E-05
8490,5,18806.85491,0.041130216,32.83093336,EGY,Egyptian Exclusive Economic Zone,Egypt,0.001747877
8490,10,32038.2933,0.094130174,68.40382239,EGY,Egyptian Exclusive Economic Zone,Egypt,0.002138003
8490,15,42945.18722,0.132940335,91.06333199,EGY,Egyptian Exclusive Economic Zone,Egypt,0.00212355
8490,20,52388.00296,0.158703454,105.6560903,EGY,Egyptian Exclusive Economic Zone,Egypt,0.002019829
8490,25,61518.39779,0.164872732,117.3841072,EGY,Egyptian Exclusive Economic Zone,Egypt,0.001910794
8428,5,2321.198469,0.033783784,2.590276131,SLV,El Salvador Exclusive Economic Zone,El Salvador,0.001130476
8428,10,3830.911396,0.047297297,11.98287232,SLV,El Salvador Exclusive Economic Zone,El Salvador,0.003140289
8428,15,5234.106466,0.052969254,16.18883755,SLV,El Salvador Exclusive Economic Zone,El Salvador,0.003103072
8428,20,6630.337809,0.052969254,18.21661629,SLV,El Salvador Exclusive Economic Zone,El Salvador,0.002755453
8428,25,7999.195796,0.052969254,19.62766554,SLV,El Salvador Exclusive Economic Zone,El Salvador,0.002460327
8398,5,3126.369484,0.180457951,1.527089214,GNQ,Equatorial Guinean Exclusive Economic Zone,Equatorial Guinea,0.000546176
8398,10,5925.310443,0.468548536,3.470682889,GNQ,Equatorial Guinean Exclusive Economic Zone,Equatorial Guinea,0.000664814
8398,15,8855.753765,0.548924733,4.084371811,GNQ,Equatorial Guinean Exclusive Economic Zone,Equatorial Guinea,0.000523196
8398,20,12029.96022,0.621086113,4.437534439,GNQ,Equatorial Guinean Exclusive Economic Zone,Equatorial Guinea,0.000420502
8398,25,15296.68852,0.636768902,4.641103361,GNQ,Equatorial Guinean Exclusive Economic Zone,Equatorial Guinea,0.000345034
